Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.250444e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 1617ms | tok/sec: 81,073 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011128 | lrm: 0.00 | dt: 380ms | tok/sec: 345,121 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011040 | lrm: 0.00 | dt: 380ms | tok/sec: 345,163 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011058 | lrm: 0.00 | dt: 380ms | tok/sec: 344,892 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011039 | lrm: 0.00 | dt: 380ms | tok/sec: 345,134 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011071 | lrm: 0.00 | dt: 380ms | tok/sec: 344,907 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011144 | lrm: 0.00 | dt: 380ms | tok/sec: 344,987 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011111 | lrm: 0.00 | dt: 380ms | tok/sec: 344,935 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011094 | lrm: 0.00 | dt: 380ms | tok/sec: 345,134 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011097 | lrm: 0.00 | dt: 380ms | tok/sec: 345,233 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011125 | lrm: 0.00 | dt: 380ms | tok/sec: 345,018 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011082 | lrm: 0.00 | dt: 380ms | tok/sec: 345,095 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011103 | lrm: 0.03 | dt: 380ms | tok/sec: 345,155 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.010152 | lrm: 0.05 | dt: 380ms | tok/sec: 344,908 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 9.007275 | lrm: 0.08 | dt: 380ms | tok/sec: 344,976 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 9.001824 | lrm: 0.10 | dt: 380ms | tok/sec: 345,045 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 8.992183 | lrm: 0.13 | dt: 380ms | tok/sec: 345,019 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 8.972251 | lrm: 0.15 | dt: 380ms | tok/sec: 344,955 | mfu: 4.4% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 8.937836 | lrm: 0.18 | dt: 380ms | tok/sec: 344,963 | mfu: 4.4% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 8.872717 | lrm: 0.20 | dt: 380ms | tok/sec: 344,914 | mfu: 4.4% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 8.778299 | lrm: 0.23 | dt: 380ms | tok/sec: 344,985 | mfu: 4.4% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 8.666959 | lrm: 0.25 | dt: 380ms | tok/sec: 344,851 | mfu: 4.4% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 8.535759 | lrm: 0.28 | dt: 380ms | tok/sec: 344,760 | mfu: 4.4% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 8.390294 | lrm: 0.30 | dt: 380ms | tok/sec: 344,955 | mfu: 4.4% | epoch: 1 | remaining: 295s    
step 00024 (1.6%) | loss: 8.229070 | lrm: 0.33 | dt: 380ms | tok/sec: 345,029 | mfu: 4.4% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 8.073792 | lrm: 0.35 | dt: 380ms | tok/sec: 344,939 | mfu: 4.4% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 7.907472 | lrm: 0.38 | dt: 380ms | tok/sec: 344,960 | mfu: 4.4% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 7.752297 | lrm: 0.41 | dt: 380ms | tok/sec: 345,073 | mfu: 4.4% | epoch: 1 | remaining: 294s    
step 00028 (2.2%) | loss: 7.603041 | lrm: 0.43 | dt: 380ms | tok/sec: 344,937 | mfu: 4.4% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 7.467969 | lrm: 0.46 | dt: 380ms | tok/sec: 344,935 | mfu: 4.4% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 7.337297 | lrm: 0.48 | dt: 380ms | tok/sec: 344,919 | mfu: 4.4% | epoch: 1 | remaining: 292s    
step 00031 (2.5%) | loss: 7.214730 | lrm: 0.51 | dt: 380ms | tok/sec: 344,936 | mfu: 4.4% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 7.094497 | lrm: 0.53 | dt: 380ms | tok/sec: 344,882 | mfu: 4.4% | epoch: 1 | remaining: 292s    
step 00033 (2.8%) | loss: 6.981054 | lrm: 0.56 | dt: 380ms | tok/sec: 344,924 | mfu: 4.4% | epoch: 1 | remaining: 291s    
step 00034 (2.9%) | loss: 6.875639 | lrm: 0.58 | dt: 380ms | tok/sec: 344,940 | mfu: 4.4% | epoch: 1 | remaining: 291s    
step 00035 (3.0%) | loss: 6.786698 | lrm: 0.61 | dt: 380ms | tok/sec: 344,884 | mfu: 4.4% | epoch: 1 | remaining: 291s    
step 00036 (3.2%) | loss: 6.701059 | lrm: 0.63 | dt: 380ms | tok/sec: 344,925 | mfu: 4.4% | epoch: 1 | remaining: 290s    
step 00037 (3.3%) | loss: 6.608035 | lrm: 0.66 | dt: 380ms | tok/sec: 344,807 | mfu: 4.4% | epoch: 1 | remaining: 290s    
step 00038 (3.4%) | loss: 6.531583 | lrm: 0.68 | dt: 380ms | tok/sec: 344,935 | mfu: 4.4% | epoch: 1 | remaining: 289s    
step 00039 (3.5%) | loss: 6.449218 | lrm: 0.71 | dt: 380ms | tok/sec: 344,884 | mfu: 4.4% | epoch: 1 | remaining: 289s    
step 00040 (3.7%) | loss: 6.368217 | lrm: 0.73 | dt: 380ms | tok/sec: 344,839 | mfu: 4.4% | epoch: 1 | remaining: 289s    
step 00041 (3.8%) | loss: 6.312972 | lrm: 0.76 | dt: 380ms | tok/sec: 344,911 | mfu: 4.4% | epoch: 1 | remaining: 288s    
step 00042 (3.9%) | loss: 6.250891 | lrm: 0.79 | dt: 380ms | tok/sec: 344,958 | mfu: 4.4% | epoch: 1 | remaining: 288s    
step 00043 (4.1%) | loss: 6.180680 | lrm: 0.81 | dt: 380ms | tok/sec: 344,884 | mfu: 4.4% | epoch: 1 | remaining: 287s    
step 00044 (4.2%) | loss: 6.128157 | lrm: 0.84 | dt: 380ms | tok/sec: 344,932 | mfu: 4.4% | epoch: 1 | remaining: 287s    
step 00045 (4.3%) | loss: 6.071607 | lrm: 0.86 | dt: 380ms | tok/sec: 344,852 | mfu: 4.4% | epoch: 1 | remaining: 287s    
step 00046 (4.4%) | loss: 6.020371 | lrm: 0.89 | dt: 380ms | tok/sec: 344,979 | mfu: 4.4% | epoch: 1 | remaining: 286s    
step 00047 (4.6%) | loss: 5.969534 | lrm: 0.91 | dt: 380ms | tok/sec: 344,975 | mfu: 4.4% | epoch: 1 | remaining: 286s    
step 00048 (4.7%) | loss: 5.930256 | lrm: 0.94 | dt: 380ms | tok/sec: 344,826 | mfu: 4.4% | epoch: 1 | remaining: 286s    
step 00049 (4.8%) | loss: 5.894246 | lrm: 0.96 | dt: 380ms | tok/sec: 344,923 | mfu: 4.4% | epoch: 1 | remaining: 285s    
step 00050 (4.9%) | loss: 5.858885 | lrm: 0.99 | dt: 380ms | tok/sec: 344,874 | mfu: 4.4% | epoch: 1 | remaining: 285s    
step 00051 (5.1%) | loss: 5.810555 | lrm: 1.00 | dt: 380ms | tok/sec: 344,859 | mfu: 4.4% | epoch: 1 | remaining: 284s    
step 00052 (5.2%) | loss: 5.771231 | lrm: 1.00 | dt: 380ms | tok/sec: 344,940 | mfu: 4.4% | epoch: 1 | remaining: 284s    
step 00053 (5.3%) | loss: 5.735595 | lrm: 1.00 | dt: 380ms | tok/sec: 344,954 | mfu: 4.4% | epoch: 1 | remaining: 284s    
step 00054 (5.4%) | loss: 5.696000 | lrm: 1.00 | dt: 380ms | tok/sec: 345,005 | mfu: 4.4% | epoch: 1 | remaining: 283s    
step 00055 (5.6%) | loss: 5.664593 | lrm: 1.00 | dt: 380ms | tok/sec: 344,923 | mfu: 4.4% | epoch: 1 | remaining: 283s    
step 00056 (5.7%) | loss: 5.641207 | lrm: 1.00 | dt: 380ms | tok/sec: 344,977 | mfu: 4.4% | epoch: 1 | remaining: 283s    
step 00057 (5.8%) | loss: 5.606412 | lrm: 1.00 | dt: 380ms | tok/sec: 344,888 | mfu: 4.4% | epoch: 1 | remaining: 282s    
step 00058 (6.0%) | loss: 5.567579 | lrm: 1.00 | dt: 380ms | tok/sec: 344,934 | mfu: 4.4% | epoch: 1 | remaining: 282s    
step 00059 (6.1%) | loss: 5.535954 | lrm: 1.00 | dt: 380ms | tok/sec: 344,741 | mfu: 4.4% | epoch: 1 | remaining: 281s    
step 00060 (6.2%) | loss: 5.507727 | lrm: 1.00 | dt: 380ms | tok/sec: 344,867 | mfu: 4.4% | epoch: 1 | remaining: 281s    
step 00061 (6.3%) | loss: 5.474854 | lrm: 1.00 | dt: 380ms | tok/sec: 344,926 | mfu: 4.4% | epoch: 1 | remaining: 281s    
step 00062 (6.5%) | loss: 5.450239 | lrm: 1.00 | dt: 380ms | tok/sec: 344,926 | mfu: 4.4% | epoch: 1 | remaining: 280s    
step 00063 (6.6%) | loss: 5.424336 | lrm: 1.00 | dt: 380ms | tok/sec: 344,978 | mfu: 4.4% | epoch: 1 | remaining: 280s    
step 00064 (6.7%) | loss: 5.399501 | lrm: 1.00 | dt: 380ms | tok/sec: 344,910 | mfu: 4.4% | epoch: 1 | remaining: 279s    
step 00065 (6.8%) | loss: 5.368991 | lrm: 1.00 | dt: 380ms | tok/sec: 344,933 | mfu: 4.4% | epoch: 1 | remaining: 279s    
step 00066 (7.0%) | loss: 5.343049 | lrm: 1.00 | dt: 380ms | tok/sec: 344,982 | mfu: 4.4% | epoch: 1 | remaining: 279s    
step 00067 (7.1%) | loss: 5.315018 | lrm: 1.00 | dt: 380ms | tok/sec: 344,848 | mfu: 4.4% | epoch: 1 | remaining: 278s    
step 00068 (7.2%) | loss: 5.297042 | lrm: 1.00 | dt: 380ms | tok/sec: 344,874 | mfu: 4.4% | epoch: 1 | remaining: 278s    
step 00069 (7.3%) | loss: 5.262674 | lrm: 1.00 | dt: 380ms | tok/sec: 344,930 | mfu: 4.4% | epoch: 1 | remaining: 278s    
step 00070 (7.5%) | loss: 5.240190 | lrm: 1.00 | dt: 380ms | tok/sec: 344,956 | mfu: 4.4% | epoch: 1 | remaining: 277s    
step 00071 (7.6%) | loss: 5.214257 | lrm: 1.00 | dt: 380ms | tok/sec: 344,954 | mfu: 4.4% | epoch: 1 | remaining: 277s    
step 00072 (7.7%) | loss: 5.181305 | lrm: 1.00 | dt: 380ms | tok/sec: 344,918 | mfu: 4.4% | epoch: 1 | remaining: 276s    
step 00073 (7.9%) | loss: 5.152479 | lrm: 1.00 | dt: 380ms | tok/sec: 344,926 | mfu: 4.4% | epoch: 1 | remaining: 276s    
step 00074 (8.0%) | loss: 5.139750 | lrm: 1.00 | dt: 380ms | tok/sec: 344,869 | mfu: 4.4% | epoch: 1 | remaining: 276s    
step 00075 (8.1%) | loss: 5.116643 | lrm: 1.00 | dt: 380ms | tok/sec: 344,883 | mfu: 4.4% | epoch: 1 | remaining: 275s    
step 00076 (8.2%) | loss: 5.096622 | lrm: 1.00 | dt: 380ms | tok/sec: 344,915 | mfu: 4.4% | epoch: 1 | remaining: 275s    
step 00077 (8.4%) | loss: 5.084724 | lrm: 1.00 | dt: 380ms | tok/sec: 344,838 | mfu: 4.4% | epoch: 1 | remaining: 275s    
step 00078 (8.5%) | loss: 5.070045 | lrm: 1.00 | dt: 380ms | tok/sec: 344,707 | mfu: 4.4% | epoch: 1 | remaining: 274s    
step 00079 (8.6%) | loss: 5.048462 | lrm: 1.00 | dt: 380ms | tok/sec: 344,703 | mfu: 4.4% | epoch: 1 | remaining: 274s    
step 00080 (8.7%) | loss: 5.025466 | lrm: 1.00 | dt: 380ms | tok/sec: 344,900 | mfu: 4.4% | epoch: 1 | remaining: 273s    
step 00081 (8.9%) | loss: 4.998423 | lrm: 1.00 | dt: 380ms | tok/sec: 345,010 | mfu: 4.4% | epoch: 1 | remaining: 273s    
step 00082 (9.0%) | loss: 4.988346 | lrm: 1.00 | dt: 380ms | tok/sec: 344,960 | mfu: 4.4% | epoch: 1 | remaining: 273s    
step 00083 (9.1%) | loss: 4.961334 | lrm: 1.00 | dt: 380ms | tok/sec: 344,919 | mfu: 4.4% | epoch: 1 | remaining: 272s    
step 00084 (9.2%) | loss: 4.939212 | lrm: 1.00 | dt: 380ms | tok/sec: 344,834 | mfu: 4.4% | epoch: 1 | remaining: 272s    
step 00085 (9.4%) | loss: 4.922937 | lrm: 1.00 | dt: 380ms | tok/sec: 344,840 | mfu: 4.4% | epoch: 1 | remaining: 271s    
step 00086 (9.5%) | loss: 4.897232 | lrm: 1.00 | dt: 380ms | tok/sec: 344,916 | mfu: 4.4% | epoch: 1 | remaining: 271s    
step 00087 (9.6%) | loss: 4.866370 | lrm: 1.00 | dt: 380ms | tok/sec: 345,047 | mfu: 4.4% | epoch: 1 | remaining: 271s    
step 00088 (9.8%) | loss: 4.837251 | lrm: 1.00 | dt: 380ms | tok/sec: 344,911 | mfu: 4.4% | epoch: 1 | remaining: 270s    
step 00089 (9.9%) | loss: 4.818859 | lrm: 1.00 | dt: 380ms | tok/sec: 345,077 | mfu: 4.4% | epoch: 1 | remaining: 270s    
step 00090 (10.0%) | loss: 4.793732 | lrm: 1.00 | dt: 380ms | tok/sec: 344,854 | mfu: 4.4% | epoch: 1 | remaining: 270s    
step 00091 (10.1%) | loss: 4.782839 | lrm: 1.00 | dt: 380ms | tok/sec: 345,027 | mfu: 4.4% | epoch: 1 | remaining: 269s    
step 00092 (10.3%) | loss: 4.763068 | lrm: 1.00 | dt: 380ms | tok/sec: 344,976 | mfu: 4.4% | epoch: 1 | remaining: 269s    
step 00093 (10.4%) | loss: 4.749968 | lrm: 1.00 | dt: 380ms | tok/sec: 345,018 | mfu: 4.4% | epoch: 1 | remaining: 268s    
step 00094 (10.5%) | loss: 4.745755 | lrm: 1.00 | dt: 380ms | tok/sec: 345,025 | mfu: 4.4% | epoch: 1 | remaining: 268s    
step 00095 (10.6%) | loss: 4.725412 | lrm: 1.00 | dt: 380ms | tok/sec: 344,926 | mfu: 4.4% | epoch: 1 | remaining: 268s    
step 00096 (10.8%) | loss: 4.731614 | lrm: 1.00 | dt: 380ms | tok/sec: 344,978 | mfu: 4.4% | epoch: 1 | remaining: 267s    
step 00097 (10.9%) | loss: 4.716418 | lrm: 1.00 | dt: 380ms | tok/sec: 344,804 | mfu: 4.4% | epoch: 1 | remaining: 267s    
step 00098 (11.0%) | loss: 4.697961 | lrm: 1.00 | dt: 380ms | tok/sec: 345,057 | mfu: 4.4% | epoch: 1 | remaining: 267s    
step 00099 (11.1%) | loss: 4.664342 | lrm: 1.00 | dt: 380ms | tok/sec: 344,916 | mfu: 4.4% | epoch: 1 | remaining: 266s    
step 00100 (11.3%) | loss: 4.646082 | lrm: 1.00 | dt: 380ms | tok/sec: 345,025 | mfu: 4.4% | epoch: 1 | remaining: 266s    
step 00101 (11.4%) | loss: 4.642720 | lrm: 1.00 | dt: 380ms | tok/sec: 345,005 | mfu: 4.4% | epoch: 1 | remaining: 265s    
step 00102 (11.5%) | loss: 4.638609 | lrm: 1.00 | dt: 380ms | tok/sec: 345,018 | mfu: 4.4% | epoch: 1 | remaining: 265s    
step 00103 (11.7%) | loss: 4.631035 | lrm: 1.00 | dt: 380ms | tok/sec: 345,057 | mfu: 4.4% | epoch: 1 | remaining: 265s    
step 00104 (11.8%) | loss: 4.617313 | lrm: 1.00 | dt: 380ms | tok/sec: 344,928 | mfu: 4.4% | epoch: 1 | remaining: 264s    
step 00105 (11.9%) | loss: 4.589735 | lrm: 1.00 | dt: 380ms | tok/sec: 345,024 | mfu: 4.4% | epoch: 1 | remaining: 264s    
step 00106 (12.0%) | loss: 4.581447 | lrm: 1.00 | dt: 380ms | tok/sec: 344,938 | mfu: 4.4% | epoch: 1 | remaining: 264s    
step 00107 (12.2%) | loss: 4.557927 | lrm: 1.00 | dt: 380ms | tok/sec: 345,016 | mfu: 4.4% | epoch: 1 | remaining: 263s    
step 00108 (12.3%) | loss: 4.545499 | lrm: 1.00 | dt: 380ms | tok/sec: 345,065 | mfu: 4.4% | epoch: 1 | remaining: 263s    
step 00109 (12.4%) | loss: 4.521750 | lrm: 1.00 | dt: 380ms | tok/sec: 344,927 | mfu: 4.4% | epoch: 1 | remaining: 262s    
step 00110 (12.5%) | loss: 4.516275 | lrm: 1.00 | dt: 380ms | tok/sec: 344,992 | mfu: 4.4% | epoch: 1 | remaining: 262s    
step 00111 (12.7%) | loss: 4.484414 | lrm: 1.00 | dt: 380ms | tok/sec: 345,048 | mfu: 4.4% | epoch: 1 | remaining: 262s    
step 00112 (12.8%) | loss: 4.477659 | lrm: 1.00 | dt: 380ms | tok/sec: 345,030 | mfu: 4.4% | epoch: 1 | remaining: 261s    
step 00113 (12.9%) | loss: 4.471851 | lrm: 1.00 | dt: 380ms | tok/sec: 344,959 | mfu: 4.4% | epoch: 1 | remaining: 261s    
step 00114 (13.0%) | loss: 4.452668 | lrm: 1.00 | dt: 380ms | tok/sec: 344,926 | mfu: 4.4% | epoch: 1 | remaining: 260s    
step 00115 (13.2%) | loss: 4.443882 | lrm: 1.00 | dt: 380ms | tok/sec: 344,993 | mfu: 4.4% | epoch: 1 | remaining: 260s    
step 00116 (13.3%) | loss: 4.429596 | lrm: 1.00 | dt: 380ms | tok/sec: 344,714 | mfu: 4.4% | epoch: 1 | remaining: 260s    
