Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'LSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.297630e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 510ms | tok/sec: 257,042 | mfu: 3.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011128 | lrm: 0.00 | dt: 382ms | tok/sec: 343,067 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011040 | lrm: 0.00 | dt: 382ms | tok/sec: 343,037 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011058 | lrm: 0.00 | dt: 382ms | tok/sec: 342,891 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011039 | lrm: 0.00 | dt: 382ms | tok/sec: 343,141 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011071 | lrm: 0.00 | dt: 382ms | tok/sec: 343,052 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011144 | lrm: 0.00 | dt: 382ms | tok/sec: 343,139 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011111 | lrm: 0.00 | dt: 382ms | tok/sec: 343,150 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011094 | lrm: 0.00 | dt: 382ms | tok/sec: 343,148 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011097 | lrm: 0.00 | dt: 382ms | tok/sec: 343,124 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011125 | lrm: 0.00 | dt: 382ms | tok/sec: 343,089 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011082 | lrm: 0.00 | dt: 382ms | tok/sec: 343,144 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011103 | lrm: 0.03 | dt: 382ms | tok/sec: 343,198 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.010146 | lrm: 0.05 | dt: 382ms | tok/sec: 343,172 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 9.007252 | lrm: 0.08 | dt: 382ms | tok/sec: 343,196 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 9.001766 | lrm: 0.10 | dt: 382ms | tok/sec: 343,219 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 8.992048 | lrm: 0.13 | dt: 382ms | tok/sec: 343,127 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 8.971978 | lrm: 0.15 | dt: 382ms | tok/sec: 343,137 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 8.937234 | lrm: 0.18 | dt: 382ms | tok/sec: 343,238 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 8.871718 | lrm: 0.20 | dt: 382ms | tok/sec: 343,141 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 8.776695 | lrm: 0.23 | dt: 382ms | tok/sec: 343,239 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 8.664964 | lrm: 0.25 | dt: 382ms | tok/sec: 342,949 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 8.533143 | lrm: 0.28 | dt: 382ms | tok/sec: 343,164 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 8.387687 | lrm: 0.31 | dt: 382ms | tok/sec: 343,208 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 8.226141 | lrm: 0.33 | dt: 382ms | tok/sec: 343,115 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 8.070443 | lrm: 0.36 | dt: 382ms | tok/sec: 343,065 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 7.903963 | lrm: 0.38 | dt: 382ms | tok/sec: 343,145 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 7.748826 | lrm: 0.41 | dt: 382ms | tok/sec: 343,147 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00028 (2.2%) | loss: 7.599689 | lrm: 0.43 | dt: 382ms | tok/sec: 343,100 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 7.464728 | lrm: 0.46 | dt: 382ms | tok/sec: 343,215 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 7.334261 | lrm: 0.48 | dt: 382ms | tok/sec: 343,163 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00031 (2.5%) | loss: 7.211692 | lrm: 0.51 | dt: 382ms | tok/sec: 343,130 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 7.091380 | lrm: 0.53 | dt: 382ms | tok/sec: 343,127 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00033 (2.8%) | loss: 6.978040 | lrm: 0.56 | dt: 382ms | tok/sec: 343,087 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00034 (2.9%) | loss: 6.872756 | lrm: 0.59 | dt: 382ms | tok/sec: 343,125 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00035 (3.1%) | loss: 6.783928 | lrm: 0.61 | dt: 382ms | tok/sec: 343,029 | mfu: 4.5% | epoch: 1 | remaining: 290s    
step 00036 (3.2%) | loss: 6.698320 | lrm: 0.64 | dt: 382ms | tok/sec: 343,132 | mfu: 4.5% | epoch: 1 | remaining: 290s    
step 00037 (3.3%) | loss: 6.605359 | lrm: 0.66 | dt: 382ms | tok/sec: 343,179 | mfu: 4.5% | epoch: 1 | remaining: 290s    
step 00038 (3.4%) | loss: 6.528884 | lrm: 0.69 | dt: 382ms | tok/sec: 343,085 | mfu: 4.5% | epoch: 1 | remaining: 289s    
step 00039 (3.6%) | loss: 6.446689 | lrm: 0.71 | dt: 382ms | tok/sec: 343,073 | mfu: 4.5% | epoch: 1 | remaining: 289s    
step 00040 (3.7%) | loss: 6.366012 | lrm: 0.74 | dt: 382ms | tok/sec: 343,082 | mfu: 4.5% | epoch: 1 | remaining: 289s    
step 00041 (3.8%) | loss: 6.310946 | lrm: 0.76 | dt: 382ms | tok/sec: 343,229 | mfu: 4.5% | epoch: 1 | remaining: 288s    
step 00042 (3.9%) | loss: 6.249116 | lrm: 0.79 | dt: 382ms | tok/sec: 343,067 | mfu: 4.5% | epoch: 1 | remaining: 288s    
step 00043 (4.1%) | loss: 6.179010 | lrm: 0.81 | dt: 382ms | tok/sec: 343,167 | mfu: 4.5% | epoch: 1 | remaining: 287s    
step 00044 (4.2%) | loss: 6.126693 | lrm: 0.84 | dt: 382ms | tok/sec: 343,060 | mfu: 4.5% | epoch: 1 | remaining: 287s    
step 00045 (4.3%) | loss: 6.070418 | lrm: 0.87 | dt: 382ms | tok/sec: 342,991 | mfu: 4.5% | epoch: 1 | remaining: 287s    
step 00046 (4.5%) | loss: 6.019407 | lrm: 0.89 | dt: 382ms | tok/sec: 343,126 | mfu: 4.5% | epoch: 1 | remaining: 286s    
step 00047 (4.6%) | loss: 5.968731 | lrm: 0.92 | dt: 382ms | tok/sec: 343,211 | mfu: 4.5% | epoch: 1 | remaining: 286s    
step 00048 (4.7%) | loss: 5.929923 | lrm: 0.94 | dt: 382ms | tok/sec: 343,114 | mfu: 4.5% | epoch: 1 | remaining: 285s    
step 00049 (4.8%) | loss: 5.893979 | lrm: 0.97 | dt: 382ms | tok/sec: 343,118 | mfu: 4.5% | epoch: 1 | remaining: 285s    
step 00050 (5.0%) | loss: 5.859101 | lrm: 0.99 | dt: 382ms | tok/sec: 343,103 | mfu: 4.5% | epoch: 1 | remaining: 285s    
step 00051 (5.1%) | loss: 5.810734 | lrm: 1.00 | dt: 382ms | tok/sec: 343,093 | mfu: 4.5% | epoch: 1 | remaining: 284s    
step 00052 (5.2%) | loss: 5.771236 | lrm: 1.00 | dt: 382ms | tok/sec: 343,135 | mfu: 4.5% | epoch: 1 | remaining: 284s    
step 00053 (5.3%) | loss: 5.735773 | lrm: 1.00 | dt: 382ms | tok/sec: 343,089 | mfu: 4.5% | epoch: 1 | remaining: 284s    
step 00054 (5.5%) | loss: 5.695764 | lrm: 1.00 | dt: 382ms | tok/sec: 343,124 | mfu: 4.5% | epoch: 1 | remaining: 283s    
step 00055 (5.6%) | loss: 5.664340 | lrm: 1.00 | dt: 382ms | tok/sec: 343,048 | mfu: 4.5% | epoch: 1 | remaining: 283s    
step 00056 (5.7%) | loss: 5.641558 | lrm: 1.00 | dt: 382ms | tok/sec: 343,118 | mfu: 4.5% | epoch: 1 | remaining: 282s    
step 00057 (5.9%) | loss: 5.606928 | lrm: 1.00 | dt: 382ms | tok/sec: 343,112 | mfu: 4.5% | epoch: 1 | remaining: 282s    
step 00058 (6.0%) | loss: 5.568461 | lrm: 1.00 | dt: 382ms | tok/sec: 342,959 | mfu: 4.5% | epoch: 1 | remaining: 282s    
step 00059 (6.1%) | loss: 5.536980 | lrm: 1.00 | dt: 382ms | tok/sec: 343,091 | mfu: 4.5% | epoch: 1 | remaining: 281s    
step 00060 (6.2%) | loss: 5.509053 | lrm: 1.00 | dt: 382ms | tok/sec: 343,118 | mfu: 4.5% | epoch: 1 | remaining: 281s    
step 00061 (6.4%) | loss: 5.476913 | lrm: 1.00 | dt: 382ms | tok/sec: 343,164 | mfu: 4.5% | epoch: 1 | remaining: 281s    
step 00062 (6.5%) | loss: 5.452695 | lrm: 1.00 | dt: 382ms | tok/sec: 343,134 | mfu: 4.5% | epoch: 1 | remaining: 280s    
step 00063 (6.6%) | loss: 5.426074 | lrm: 1.00 | dt: 382ms | tok/sec: 343,062 | mfu: 4.5% | epoch: 1 | remaining: 280s    
step 00064 (6.7%) | loss: 5.400692 | lrm: 1.00 | dt: 382ms | tok/sec: 342,932 | mfu: 4.5% | epoch: 1 | remaining: 279s    
step 00065 (6.9%) | loss: 5.370331 | lrm: 1.00 | dt: 382ms | tok/sec: 343,132 | mfu: 4.5% | epoch: 1 | remaining: 279s    
step 00066 (7.0%) | loss: 5.344259 | lrm: 1.00 | dt: 382ms | tok/sec: 343,151 | mfu: 4.5% | epoch: 1 | remaining: 279s    
step 00067 (7.1%) | loss: 5.316153 | lrm: 1.00 | dt: 382ms | tok/sec: 343,100 | mfu: 4.5% | epoch: 1 | remaining: 278s    
step 00068 (7.3%) | loss: 5.298388 | lrm: 1.00 | dt: 382ms | tok/sec: 343,170 | mfu: 4.5% | epoch: 1 | remaining: 278s    
step 00069 (7.4%) | loss: 5.263642 | lrm: 1.00 | dt: 382ms | tok/sec: 343,096 | mfu: 4.5% | epoch: 1 | remaining: 277s    
step 00070 (7.5%) | loss: 5.240607 | lrm: 1.00 | dt: 382ms | tok/sec: 343,181 | mfu: 4.5% | epoch: 1 | remaining: 277s    
step 00071 (7.6%) | loss: 5.213864 | lrm: 1.00 | dt: 382ms | tok/sec: 343,124 | mfu: 4.5% | epoch: 1 | remaining: 277s    
step 00072 (7.8%) | loss: 5.181204 | lrm: 1.00 | dt: 382ms | tok/sec: 343,151 | mfu: 4.5% | epoch: 1 | remaining: 276s    
step 00073 (7.9%) | loss: 5.153230 | lrm: 1.00 | dt: 382ms | tok/sec: 343,166 | mfu: 4.5% | epoch: 1 | remaining: 276s    
step 00074 (8.0%) | loss: 5.141763 | lrm: 1.00 | dt: 382ms | tok/sec: 343,241 | mfu: 4.5% | epoch: 1 | remaining: 276s    
step 00075 (8.1%) | loss: 5.118443 | lrm: 1.00 | dt: 382ms | tok/sec: 343,145 | mfu: 4.5% | epoch: 1 | remaining: 275s    
step 00076 (8.3%) | loss: 5.098637 | lrm: 1.00 | dt: 382ms | tok/sec: 343,118 | mfu: 4.5% | epoch: 1 | remaining: 275s    
step 00077 (8.4%) | loss: 5.085972 | lrm: 1.00 | dt: 382ms | tok/sec: 342,813 | mfu: 4.5% | epoch: 1 | remaining: 274s    
step 00078 (8.5%) | loss: 5.070596 | lrm: 1.00 | dt: 382ms | tok/sec: 343,113 | mfu: 4.5% | epoch: 1 | remaining: 274s    
step 00079 (8.7%) | loss: 5.049769 | lrm: 1.00 | dt: 382ms | tok/sec: 343,062 | mfu: 4.5% | epoch: 1 | remaining: 274s    
step 00080 (8.8%) | loss: 5.027062 | lrm: 1.00 | dt: 382ms | tok/sec: 343,112 | mfu: 4.5% | epoch: 1 | remaining: 273s    
step 00081 (8.9%) | loss: 5.000036 | lrm: 1.00 | dt: 382ms | tok/sec: 343,104 | mfu: 4.5% | epoch: 1 | remaining: 273s    
step 00082 (9.0%) | loss: 4.990046 | lrm: 1.00 | dt: 382ms | tok/sec: 343,121 | mfu: 4.5% | epoch: 1 | remaining: 272s    
step 00083 (9.2%) | loss: 4.964698 | lrm: 1.00 | dt: 382ms | tok/sec: 343,026 | mfu: 4.5% | epoch: 1 | remaining: 272s    
step 00084 (9.3%) | loss: 4.942914 | lrm: 1.00 | dt: 382ms | tok/sec: 343,093 | mfu: 4.5% | epoch: 1 | remaining: 272s    
step 00085 (9.4%) | loss: 4.926676 | lrm: 1.00 | dt: 382ms | tok/sec: 343,108 | mfu: 4.5% | epoch: 1 | remaining: 271s    
step 00086 (9.6%) | loss: 4.900606 | lrm: 1.00 | dt: 382ms | tok/sec: 343,144 | mfu: 4.5% | epoch: 1 | remaining: 271s    
step 00087 (9.7%) | loss: 4.869496 | lrm: 1.00 | dt: 382ms | tok/sec: 343,010 | mfu: 4.5% | epoch: 1 | remaining: 271s    
step 00088 (9.8%) | loss: 4.840233 | lrm: 1.00 | dt: 382ms | tok/sec: 343,093 | mfu: 4.5% | epoch: 1 | remaining: 270s    
step 00089 (9.9%) | loss: 4.821942 | lrm: 1.00 | dt: 382ms | tok/sec: 343,130 | mfu: 4.5% | epoch: 1 | remaining: 270s    
step 00090 (10.1%) | loss: 4.796628 | lrm: 1.00 | dt: 382ms | tok/sec: 343,170 | mfu: 4.5% | epoch: 1 | remaining: 269s    
step 00091 (10.2%) | loss: 4.785134 | lrm: 1.00 | dt: 382ms | tok/sec: 343,046 | mfu: 4.5% | epoch: 1 | remaining: 269s    
step 00092 (10.3%) | loss: 4.764399 | lrm: 1.00 | dt: 382ms | tok/sec: 343,167 | mfu: 4.5% | epoch: 1 | remaining: 269s    
step 00093 (10.4%) | loss: 4.750687 | lrm: 1.00 | dt: 382ms | tok/sec: 343,108 | mfu: 4.5% | epoch: 1 | remaining: 268s    
step 00094 (10.6%) | loss: 4.746255 | lrm: 1.00 | dt: 382ms | tok/sec: 343,165 | mfu: 4.5% | epoch: 1 | remaining: 268s    
step 00095 (10.7%) | loss: 4.725717 | lrm: 1.00 | dt: 382ms | tok/sec: 343,081 | mfu: 4.5% | epoch: 1 | remaining: 268s    
step 00096 (10.8%) | loss: 4.732073 | lrm: 1.00 | dt: 382ms | tok/sec: 342,899 | mfu: 4.5% | epoch: 1 | remaining: 267s    
step 00097 (11.0%) | loss: 4.716342 | lrm: 1.00 | dt: 382ms | tok/sec: 343,144 | mfu: 4.5% | epoch: 1 | remaining: 267s    
step 00098 (11.1%) | loss: 4.698496 | lrm: 1.00 | dt: 382ms | tok/sec: 343,129 | mfu: 4.5% | epoch: 1 | remaining: 266s    
step 00099 (11.2%) | loss: 4.665283 | lrm: 1.00 | dt: 382ms | tok/sec: 343,031 | mfu: 4.5% | epoch: 1 | remaining: 266s    
step 00100 (11.3%) | loss: 4.647096 | lrm: 1.00 | dt: 382ms | tok/sec: 343,070 | mfu: 4.5% | epoch: 1 | remaining: 266s    
step 00101 (11.5%) | loss: 4.644655 | lrm: 1.00 | dt: 382ms | tok/sec: 343,111 | mfu: 4.5% | epoch: 1 | remaining: 265s    
step 00102 (11.6%) | loss: 4.641359 | lrm: 1.00 | dt: 382ms | tok/sec: 343,134 | mfu: 4.5% | epoch: 1 | remaining: 265s    
step 00103 (11.7%) | loss: 4.633013 | lrm: 1.00 | dt: 382ms | tok/sec: 343,173 | mfu: 4.5% | epoch: 1 | remaining: 264s    
step 00104 (11.8%) | loss: 4.619425 | lrm: 1.00 | dt: 382ms | tok/sec: 343,089 | mfu: 4.5% | epoch: 1 | remaining: 264s    
step 00105 (12.0%) | loss: 4.592464 | lrm: 1.00 | dt: 382ms | tok/sec: 343,080 | mfu: 4.5% | epoch: 1 | remaining: 264s    
step 00106 (12.1%) | loss: 4.584432 | lrm: 1.00 | dt: 382ms | tok/sec: 343,139 | mfu: 4.5% | epoch: 1 | remaining: 263s    
step 00107 (12.2%) | loss: 4.560324 | lrm: 1.00 | dt: 382ms | tok/sec: 343,055 | mfu: 4.5% | epoch: 1 | remaining: 263s    
step 00108 (12.4%) | loss: 4.547109 | lrm: 1.00 | dt: 382ms | tok/sec: 343,066 | mfu: 4.5% | epoch: 1 | remaining: 263s    
step 00109 (12.5%) | loss: 4.522260 | lrm: 1.00 | dt: 382ms | tok/sec: 343,169 | mfu: 4.5% | epoch: 1 | remaining: 262s    
step 00110 (12.6%) | loss: 4.516164 | lrm: 1.00 | dt: 382ms | tok/sec: 343,163 | mfu: 4.5% | epoch: 1 | remaining: 262s    
step 00111 (12.7%) | loss: 4.484657 | lrm: 1.00 | dt: 382ms | tok/sec: 343,127 | mfu: 4.5% | epoch: 1 | remaining: 261s    
step 00112 (12.9%) | loss: 4.478168 | lrm: 1.00 | dt: 382ms | tok/sec: 343,037 | mfu: 4.5% | epoch: 1 | remaining: 261s    
step 00113 (13.0%) | loss: 4.472406 | lrm: 1.00 | dt: 382ms | tok/sec: 343,100 | mfu: 4.5% | epoch: 1 | remaining: 261s    
step 00114 (13.1%) | loss: 4.453066 | lrm: 1.00 | dt: 382ms | tok/sec: 343,079 | mfu: 4.5% | epoch: 1 | remaining: 260s    
step 00115 (13.2%) | loss: 4.443323 | lrm: 1.00 | dt: 382ms | tok/sec: 342,966 | mfu: 4.5% | epoch: 1 | remaining: 260s    
step 00116 (13.4%) | loss: 4.428542 | lrm: 1.00 | dt: 382ms | tok/sec: 343,024 | mfu: 4.5% | epoch: 1 | remaining: 260s    
