Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'LSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.297630e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 561ms | tok/sec: 233,732 | mfu: 3.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011128 | lrm: 0.00 | dt: 385ms | tok/sec: 340,881 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011040 | lrm: 0.00 | dt: 384ms | tok/sec: 340,900 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011058 | lrm: 0.00 | dt: 384ms | tok/sec: 340,910 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011039 | lrm: 0.00 | dt: 385ms | tok/sec: 340,830 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011071 | lrm: 0.00 | dt: 384ms | tok/sec: 340,978 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011144 | lrm: 0.00 | dt: 385ms | tok/sec: 340,773 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011111 | lrm: 0.00 | dt: 385ms | tok/sec: 340,767 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011094 | lrm: 0.00 | dt: 385ms | tok/sec: 340,521 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011097 | lrm: 0.00 | dt: 384ms | tok/sec: 340,923 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011125 | lrm: 0.00 | dt: 385ms | tok/sec: 340,865 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011082 | lrm: 0.00 | dt: 385ms | tok/sec: 340,865 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011103 | lrm: 0.03 | dt: 385ms | tok/sec: 340,654 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.010140 | lrm: 0.05 | dt: 385ms | tok/sec: 340,707 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 9.007226 | lrm: 0.08 | dt: 385ms | tok/sec: 340,684 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 9.001700 | lrm: 0.10 | dt: 385ms | tok/sec: 340,734 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 8.991899 | lrm: 0.13 | dt: 385ms | tok/sec: 340,585 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 8.971635 | lrm: 0.15 | dt: 385ms | tok/sec: 340,660 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 8.936587 | lrm: 0.18 | dt: 385ms | tok/sec: 340,763 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 8.870399 | lrm: 0.21 | dt: 385ms | tok/sec: 340,719 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00020 (1.2%) | loss: 8.774611 | lrm: 0.23 | dt: 385ms | tok/sec: 340,722 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 8.662305 | lrm: 0.26 | dt: 385ms | tok/sec: 340,740 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 8.529869 | lrm: 0.28 | dt: 385ms | tok/sec: 340,827 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 8.384178 | lrm: 0.31 | dt: 385ms | tok/sec: 340,778 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 8.222267 | lrm: 0.33 | dt: 385ms | tok/sec: 340,716 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 8.065631 | lrm: 0.36 | dt: 385ms | tok/sec: 340,661 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 7.898789 | lrm: 0.38 | dt: 385ms | tok/sec: 340,350 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00027 (2.1%) | loss: 7.743456 | lrm: 0.41 | dt: 385ms | tok/sec: 340,645 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00028 (2.2%) | loss: 7.594265 | lrm: 0.44 | dt: 385ms | tok/sec: 340,476 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 7.459435 | lrm: 0.46 | dt: 385ms | tok/sec: 340,663 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 7.329181 | lrm: 0.49 | dt: 385ms | tok/sec: 340,490 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00031 (2.6%) | loss: 7.206699 | lrm: 0.51 | dt: 385ms | tok/sec: 340,726 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 7.086266 | lrm: 0.54 | dt: 385ms | tok/sec: 340,627 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00033 (2.8%) | loss: 6.972990 | lrm: 0.56 | dt: 385ms | tok/sec: 340,619 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00034 (2.9%) | loss: 6.867701 | lrm: 0.59 | dt: 385ms | tok/sec: 340,613 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00035 (3.1%) | loss: 6.778987 | lrm: 0.62 | dt: 385ms | tok/sec: 340,527 | mfu: 4.5% | epoch: 1 | remaining: 290s    
step 00036 (3.2%) | loss: 6.693620 | lrm: 0.64 | dt: 385ms | tok/sec: 340,611 | mfu: 4.5% | epoch: 1 | remaining: 290s    
