Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 20,971,520
  lm_head                 : 5,242,880
  transformer_matrices    : 39,322,240
  scalars                 : 16
  total                   : 70,779,536
Estimated FLOPs per token: 3.617626e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.010969 | lrm: 0.00 | dt: 989ms | tok/sec: 132,594 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011037 | lrm: 0.00 | dt: 837ms | tok/sec: 156,679 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011052 | lrm: 0.00 | dt: 836ms | tok/sec: 156,785 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011150 | lrm: 0.00 | dt: 836ms | tok/sec: 156,775 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011099 | lrm: 0.00 | dt: 836ms | tok/sec: 156,783 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011119 | lrm: 0.00 | dt: 836ms | tok/sec: 156,793 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011100 | lrm: 0.00 | dt: 836ms | tok/sec: 156,743 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011116 | lrm: 0.00 | dt: 836ms | tok/sec: 156,757 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011035 | lrm: 0.00 | dt: 836ms | tok/sec: 156,797 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011035 | lrm: 0.00 | dt: 836ms | tok/sec: 156,801 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.010969 | lrm: 0.00 | dt: 836ms | tok/sec: 156,770 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011011 | lrm: 0.00 | dt: 836ms | tok/sec: 156,781 | mfu: 5.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 9.011008 | lrm: 0.06 | dt: 836ms | tok/sec: 156,775 | mfu: 5.7% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 9.008096 | lrm: 0.11 | dt: 837ms | tok/sec: 156,530 | mfu: 5.7% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 8.999239 | lrm: 0.17 | dt: 837ms | tok/sec: 156,505 | mfu: 5.7% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 8.979189 | lrm: 0.22 | dt: 837ms | tok/sec: 156,546 | mfu: 5.7% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 8.931388 | lrm: 0.28 | dt: 837ms | tok/sec: 156,536 | mfu: 5.7% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 8.824214 | lrm: 0.33 | dt: 837ms | tok/sec: 156,550 | mfu: 5.7% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 8.691541 | lrm: 0.39 | dt: 837ms | tok/sec: 156,570 | mfu: 5.7% | epoch: 1 | remaining: 293s    
step 00019 (2.2%) | loss: 8.524069 | lrm: 0.45 | dt: 837ms | tok/sec: 156,567 | mfu: 5.7% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 8.343915 | lrm: 0.50 | dt: 837ms | tok/sec: 156,560 | mfu: 5.7% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 8.166395 | lrm: 0.56 | dt: 837ms | tok/sec: 156,542 | mfu: 5.7% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 7.971840 | lrm: 0.61 | dt: 837ms | tok/sec: 156,512 | mfu: 5.7% | epoch: 1 | remaining: 290s    
step 00023 (3.3%) | loss: 7.792671 | lrm: 0.67 | dt: 837ms | tok/sec: 156,518 | mfu: 5.7% | epoch: 1 | remaining: 289s    
step 00024 (3.6%) | loss: 7.606995 | lrm: 0.73 | dt: 838ms | tok/sec: 156,486 | mfu: 5.7% | epoch: 1 | remaining: 288s    
step 00025 (3.9%) | loss: 7.442601 | lrm: 0.78 | dt: 838ms | tok/sec: 156,490 | mfu: 5.7% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 7.280191 | lrm: 0.84 | dt: 838ms | tok/sec: 156,463 | mfu: 5.7% | epoch: 1 | remaining: 287s    
step 00027 (4.5%) | loss: 7.133579 | lrm: 0.89 | dt: 837ms | tok/sec: 156,540 | mfu: 5.7% | epoch: 1 | remaining: 286s    
step 00028 (4.7%) | loss: 6.998811 | lrm: 0.95 | dt: 837ms | tok/sec: 156,514 | mfu: 5.7% | epoch: 1 | remaining: 285s    
step 00029 (5.0%) | loss: 6.877058 | lrm: 1.00 | dt: 837ms | tok/sec: 156,514 | mfu: 5.7% | epoch: 1 | remaining: 284s    
step 00030 (5.3%) | loss: 6.763968 | lrm: 1.00 | dt: 837ms | tok/sec: 156,524 | mfu: 5.7% | epoch: 1 | remaining: 283s    
step 00031 (5.6%) | loss: 6.655945 | lrm: 1.00 | dt: 838ms | tok/sec: 156,501 | mfu: 5.7% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 6.550827 | lrm: 1.00 | dt: 837ms | tok/sec: 156,534 | mfu: 5.7% | epoch: 1 | remaining: 282s    
step 00033 (6.1%) | loss: 6.457023 | lrm: 1.00 | dt: 837ms | tok/sec: 156,531 | mfu: 5.7% | epoch: 1 | remaining: 281s    
step 00034 (6.4%) | loss: 6.365986 | lrm: 1.00 | dt: 837ms | tok/sec: 156,505 | mfu: 5.7% | epoch: 1 | remaining: 280s    
step 00035 (6.7%) | loss: 6.292603 | lrm: 1.00 | dt: 838ms | tok/sec: 156,489 | mfu: 5.7% | epoch: 1 | remaining: 279s    
step 00036 (7.0%) | loss: 6.225517 | lrm: 1.00 | dt: 837ms | tok/sec: 156,508 | mfu: 5.7% | epoch: 1 | remaining: 278s    
step 00037 (7.3%) | loss: 6.147565 | lrm: 1.00 | dt: 837ms | tok/sec: 156,528 | mfu: 5.7% | epoch: 1 | remaining: 277s    
step 00038 (7.5%) | loss: 6.090243 | lrm: 1.00 | dt: 837ms | tok/sec: 156,511 | mfu: 5.7% | epoch: 1 | remaining: 277s    
step 00039 (7.8%) | loss: 6.026524 | lrm: 1.00 | dt: 837ms | tok/sec: 156,508 | mfu: 5.7% | epoch: 1 | remaining: 276s    
step 00040 (8.1%) | loss: 5.965012 | lrm: 1.00 | dt: 838ms | tok/sec: 156,463 | mfu: 5.7% | epoch: 1 | remaining: 275s    
step 00041 (8.4%) | loss: 5.927997 | lrm: 1.00 | dt: 837ms | tok/sec: 156,549 | mfu: 5.7% | epoch: 1 | remaining: 274s    
step 00042 (8.7%) | loss: 5.883429 | lrm: 1.00 | dt: 837ms | tok/sec: 156,510 | mfu: 5.7% | epoch: 1 | remaining: 273s    
step 00043 (8.9%) | loss: 5.828545 | lrm: 1.00 | dt: 837ms | tok/sec: 156,524 | mfu: 5.7% | epoch: 1 | remaining: 272s    
step 00044 (9.2%) | loss: 5.789743 | lrm: 1.00 | dt: 837ms | tok/sec: 156,512 | mfu: 5.7% | epoch: 1 | remaining: 272s    
step 00045 (9.5%) | loss: 5.745782 | lrm: 1.00 | dt: 837ms | tok/sec: 156,519 | mfu: 5.7% | epoch: 1 | remaining: 271s    
step 00046 (9.8%) | loss: 5.708512 | lrm: 1.00 | dt: 837ms | tok/sec: 156,504 | mfu: 5.7% | epoch: 1 | remaining: 270s    
step 00047 (10.0%) | loss: 5.668566 | lrm: 1.00 | dt: 837ms | tok/sec: 156,508 | mfu: 5.7% | epoch: 1 | remaining: 269s    
step 00048 (10.3%) | loss: 5.640202 | lrm: 1.00 | dt: 837ms | tok/sec: 156,518 | mfu: 5.7% | epoch: 1 | remaining: 268s    
step 00049 (10.6%) | loss: 5.614090 | lrm: 1.00 | dt: 838ms | tok/sec: 156,477 | mfu: 5.7% | epoch: 1 | remaining: 267s    
step 00050 (10.9%) | loss: 5.586076 | lrm: 1.00 | dt: 837ms | tok/sec: 156,519 | mfu: 5.7% | epoch: 1 | remaining: 267s    
step 00051 (11.2%) | loss: 5.544613 | lrm: 1.00 | dt: 837ms | tok/sec: 156,529 | mfu: 5.7% | epoch: 1 | remaining: 266s    
step 00052 (11.4%) | loss: 5.512303 | lrm: 1.00 | dt: 838ms | tok/sec: 156,476 | mfu: 5.7% | epoch: 1 | remaining: 265s    
step 00053 (11.7%) | loss: 5.485747 | lrm: 1.00 | dt: 838ms | tok/sec: 156,502 | mfu: 5.7% | epoch: 1 | remaining: 264s    
step 00054 (12.0%) | loss: 5.453335 | lrm: 1.00 | dt: 837ms | tok/sec: 156,523 | mfu: 5.7% | epoch: 1 | remaining: 263s    
step 00055 (12.3%) | loss: 5.428733 | lrm: 1.00 | dt: 837ms | tok/sec: 156,519 | mfu: 5.7% | epoch: 1 | remaining: 262s    
step 00056 (12.6%) | loss: 5.412475 | lrm: 1.00 | dt: 837ms | tok/sec: 156,513 | mfu: 5.7% | epoch: 1 | remaining: 261s    
step 00057 (12.8%) | loss: 5.383510 | lrm: 1.00 | dt: 838ms | tok/sec: 156,469 | mfu: 5.7% | epoch: 1 | remaining: 261s    
step 00058 (13.1%) | loss: 5.349886 | lrm: 1.00 | dt: 837ms | tok/sec: 156,510 | mfu: 5.7% | epoch: 1 | remaining: 260s    
step 00059 (13.4%) | loss: 5.323358 | lrm: 1.00 | dt: 838ms | tok/sec: 156,487 | mfu: 5.7% | epoch: 1 | remaining: 259s    
step 00060 (13.7%) | loss: 5.300262 | lrm: 1.00 | dt: 837ms | tok/sec: 156,512 | mfu: 5.7% | epoch: 1 | remaining: 258s    
step 00061 (14.0%) | loss: 5.272257 | lrm: 1.00 | dt: 838ms | tok/sec: 156,497 | mfu: 5.7% | epoch: 1 | remaining: 257s    
step 00062 (14.2%) | loss: 5.254236 | lrm: 1.00 | dt: 837ms | tok/sec: 156,515 | mfu: 5.7% | epoch: 1 | remaining: 256s    
step 00063 (14.5%) | loss: 5.233047 | lrm: 1.00 | dt: 838ms | tok/sec: 156,490 | mfu: 5.7% | epoch: 1 | remaining: 256s    
step 00064 (14.8%) | loss: 5.215243 | lrm: 1.00 | dt: 837ms | tok/sec: 156,523 | mfu: 5.7% | epoch: 1 | remaining: 255s    
step 00065 (15.1%) | loss: 5.190225 | lrm: 1.00 | dt: 838ms | tok/sec: 156,483 | mfu: 5.7% | epoch: 1 | remaining: 254s    
step 00066 (15.4%) | loss: 5.168866 | lrm: 1.00 | dt: 838ms | tok/sec: 156,481 | mfu: 5.7% | epoch: 1 | remaining: 253s    
step 00067 (15.6%) | loss: 5.144207 | lrm: 1.00 | dt: 838ms | tok/sec: 156,478 | mfu: 5.7% | epoch: 1 | remaining: 252s    
step 00068 (15.9%) | loss: 5.130827 | lrm: 1.00 | dt: 837ms | tok/sec: 156,507 | mfu: 5.7% | epoch: 1 | remaining: 251s    
step 00069 (16.2%) | loss: 5.099027 | lrm: 1.00 | dt: 837ms | tok/sec: 156,509 | mfu: 5.7% | epoch: 1 | remaining: 251s    
