Vocab size: 8,192
CUDA capability: 12.0
torch.compile model: False
torch.compile optimizer: False
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.250444e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 511ms | tok/sec: 256,499 | mfu: 3.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011128 | lrm: 0.00 | dt: 382ms | tok/sec: 343,052 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011040 | lrm: 0.00 | dt: 382ms | tok/sec: 343,351 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011058 | lrm: 0.00 | dt: 382ms | tok/sec: 343,317 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011039 | lrm: 0.00 | dt: 382ms | tok/sec: 343,220 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011071 | lrm: 0.00 | dt: 382ms | tok/sec: 343,359 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011144 | lrm: 0.00 | dt: 382ms | tok/sec: 343,346 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011111 | lrm: 0.00 | dt: 382ms | tok/sec: 343,276 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011094 | lrm: 0.00 | dt: 382ms | tok/sec: 343,128 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011097 | lrm: 0.00 | dt: 382ms | tok/sec: 343,217 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011125 | lrm: 0.00 | dt: 382ms | tok/sec: 343,356 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011082 | lrm: 0.00 | dt: 382ms | tok/sec: 343,313 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011103 | lrm: 0.03 | dt: 382ms | tok/sec: 343,199 | mfu: 4.3% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.010147 | lrm: 0.05 | dt: 382ms | tok/sec: 343,244 | mfu: 4.3% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 9.007254 | lrm: 0.08 | dt: 382ms | tok/sec: 343,255 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 9.001774 | lrm: 0.10 | dt: 382ms | tok/sec: 343,187 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 8.992078 | lrm: 0.13 | dt: 382ms | tok/sec: 343,265 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 8.972037 | lrm: 0.15 | dt: 382ms | tok/sec: 343,174 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 8.937418 | lrm: 0.18 | dt: 382ms | tok/sec: 343,256 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 8.872044 | lrm: 0.20 | dt: 382ms | tok/sec: 343,238 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 8.777093 | lrm: 0.23 | dt: 382ms | tok/sec: 343,237 | mfu: 4.3% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 8.665405 | lrm: 0.25 | dt: 382ms | tok/sec: 343,313 | mfu: 4.3% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 8.533686 | lrm: 0.28 | dt: 382ms | tok/sec: 343,228 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 8.388212 | lrm: 0.31 | dt: 382ms | tok/sec: 343,227 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 8.226609 | lrm: 0.33 | dt: 382ms | tok/sec: 343,294 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 8.070639 | lrm: 0.36 | dt: 382ms | tok/sec: 343,179 | mfu: 4.3% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 7.904195 | lrm: 0.38 | dt: 382ms | tok/sec: 343,304 | mfu: 4.3% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 7.749151 | lrm: 0.41 | dt: 382ms | tok/sec: 343,137 | mfu: 4.3% | epoch: 1 | remaining: 294s    
step 00028 (2.2%) | loss: 7.600135 | lrm: 0.43 | dt: 382ms | tok/sec: 343,150 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 7.465444 | lrm: 0.46 | dt: 382ms | tok/sec: 343,230 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 7.334943 | lrm: 0.48 | dt: 382ms | tok/sec: 343,213 | mfu: 4.3% | epoch: 1 | remaining: 292s    
step 00031 (2.5%) | loss: 7.212018 | lrm: 0.51 | dt: 382ms | tok/sec: 343,263 | mfu: 4.3% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 7.091675 | lrm: 0.53 | dt: 382ms | tok/sec: 343,260 | mfu: 4.3% | epoch: 1 | remaining: 292s    
step 00033 (2.8%) | loss: 6.978375 | lrm: 0.56 | dt: 382ms | tok/sec: 343,241 | mfu: 4.3% | epoch: 1 | remaining: 291s    
step 00034 (2.9%) | loss: 6.873041 | lrm: 0.59 | dt: 382ms | tok/sec: 343,191 | mfu: 4.3% | epoch: 1 | remaining: 291s    
step 00035 (3.1%) | loss: 6.784040 | lrm: 0.61 | dt: 382ms | tok/sec: 343,243 | mfu: 4.3% | epoch: 1 | remaining: 290s    
step 00036 (3.2%) | loss: 6.698215 | lrm: 0.64 | dt: 382ms | tok/sec: 343,195 | mfu: 4.3% | epoch: 1 | remaining: 290s    
step 00037 (3.3%) | loss: 6.605370 | lrm: 0.66 | dt: 382ms | tok/sec: 343,117 | mfu: 4.3% | epoch: 1 | remaining: 290s    
step 00038 (3.4%) | loss: 6.529061 | lrm: 0.69 | dt: 382ms | tok/sec: 343,253 | mfu: 4.3% | epoch: 1 | remaining: 289s    
step 00039 (3.6%) | loss: 6.446693 | lrm: 0.71 | dt: 382ms | tok/sec: 343,259 | mfu: 4.3% | epoch: 1 | remaining: 289s    
step 00040 (3.7%) | loss: 6.365847 | lrm: 0.74 | dt: 382ms | tok/sec: 343,233 | mfu: 4.3% | epoch: 1 | remaining: 289s    
step 00041 (3.8%) | loss: 6.310835 | lrm: 0.76 | dt: 382ms | tok/sec: 343,225 | mfu: 4.3% | epoch: 1 | remaining: 288s    
step 00042 (3.9%) | loss: 6.249081 | lrm: 0.79 | dt: 382ms | tok/sec: 343,271 | mfu: 4.3% | epoch: 1 | remaining: 288s    
step 00043 (4.1%) | loss: 6.178948 | lrm: 0.81 | dt: 382ms | tok/sec: 343,261 | mfu: 4.3% | epoch: 1 | remaining: 287s    
step 00044 (4.2%) | loss: 6.126508 | lrm: 0.84 | dt: 382ms | tok/sec: 343,180 | mfu: 4.3% | epoch: 1 | remaining: 287s    
step 00045 (4.3%) | loss: 6.070037 | lrm: 0.87 | dt: 382ms | tok/sec: 343,306 | mfu: 4.3% | epoch: 1 | remaining: 287s    
step 00046 (4.5%) | loss: 6.019553 | lrm: 0.89 | dt: 382ms | tok/sec: 343,065 | mfu: 4.3% | epoch: 1 | remaining: 286s    
step 00047 (4.6%) | loss: 5.969346 | lrm: 0.92 | dt: 382ms | tok/sec: 343,192 | mfu: 4.3% | epoch: 1 | remaining: 286s    
step 00048 (4.7%) | loss: 5.930373 | lrm: 0.94 | dt: 382ms | tok/sec: 343,222 | mfu: 4.3% | epoch: 1 | remaining: 285s    
step 00049 (4.8%) | loss: 5.895800 | lrm: 0.97 | dt: 382ms | tok/sec: 343,182 | mfu: 4.3% | epoch: 1 | remaining: 285s    
step 00050 (5.0%) | loss: 5.861022 | lrm: 0.99 | dt: 382ms | tok/sec: 343,144 | mfu: 4.3% | epoch: 1 | remaining: 285s    
step 00051 (5.1%) | loss: 5.813031 | lrm: 1.00 | dt: 382ms | tok/sec: 343,300 | mfu: 4.3% | epoch: 1 | remaining: 284s    
step 00052 (5.2%) | loss: 5.773809 | lrm: 1.00 | dt: 382ms | tok/sec: 343,303 | mfu: 4.3% | epoch: 1 | remaining: 284s    
step 00053 (5.3%) | loss: 5.738573 | lrm: 1.00 | dt: 382ms | tok/sec: 343,207 | mfu: 4.3% | epoch: 1 | remaining: 284s    
step 00054 (5.5%) | loss: 5.699166 | lrm: 1.00 | dt: 382ms | tok/sec: 343,192 | mfu: 4.3% | epoch: 1 | remaining: 283s    
step 00055 (5.6%) | loss: 5.666847 | lrm: 1.00 | dt: 382ms | tok/sec: 343,199 | mfu: 4.3% | epoch: 1 | remaining: 283s    
step 00056 (5.7%) | loss: 5.642028 | lrm: 1.00 | dt: 382ms | tok/sec: 343,195 | mfu: 4.3% | epoch: 1 | remaining: 282s    
step 00057 (5.9%) | loss: 5.607113 | lrm: 1.00 | dt: 382ms | tok/sec: 343,249 | mfu: 4.3% | epoch: 1 | remaining: 282s    
step 00058 (6.0%) | loss: 5.568255 | lrm: 1.00 | dt: 382ms | tok/sec: 343,236 | mfu: 4.3% | epoch: 1 | remaining: 282s    
step 00059 (6.1%) | loss: 5.536797 | lrm: 1.00 | dt: 382ms | tok/sec: 343,137 | mfu: 4.3% | epoch: 1 | remaining: 281s    
step 00060 (6.2%) | loss: 5.508610 | lrm: 1.00 | dt: 382ms | tok/sec: 343,261 | mfu: 4.3% | epoch: 1 | remaining: 281s    
step 00061 (6.4%) | loss: 5.475550 | lrm: 1.00 | dt: 382ms | tok/sec: 343,306 | mfu: 4.3% | epoch: 1 | remaining: 281s    
step 00062 (6.5%) | loss: 5.451013 | lrm: 1.00 | dt: 382ms | tok/sec: 343,174 | mfu: 4.3% | epoch: 1 | remaining: 280s    
step 00063 (6.6%) | loss: 5.424799 | lrm: 1.00 | dt: 382ms | tok/sec: 343,176 | mfu: 4.3% | epoch: 1 | remaining: 280s    
step 00064 (6.7%) | loss: 5.400486 | lrm: 1.00 | dt: 382ms | tok/sec: 343,040 | mfu: 4.3% | epoch: 1 | remaining: 279s    
step 00065 (6.9%) | loss: 5.370306 | lrm: 1.00 | dt: 382ms | tok/sec: 343,178 | mfu: 4.3% | epoch: 1 | remaining: 279s    
step 00066 (7.0%) | loss: 5.344703 | lrm: 1.00 | dt: 382ms | tok/sec: 343,193 | mfu: 4.3% | epoch: 1 | remaining: 279s    
step 00067 (7.1%) | loss: 5.316670 | lrm: 1.00 | dt: 382ms | tok/sec: 343,300 | mfu: 4.3% | epoch: 1 | remaining: 278s    
step 00068 (7.3%) | loss: 5.298902 | lrm: 1.00 | dt: 382ms | tok/sec: 343,192 | mfu: 4.3% | epoch: 1 | remaining: 278s    
step 00069 (7.4%) | loss: 5.263994 | lrm: 1.00 | dt: 382ms | tok/sec: 343,277 | mfu: 4.3% | epoch: 1 | remaining: 277s    
step 00070 (7.5%) | loss: 5.241007 | lrm: 1.00 | dt: 382ms | tok/sec: 343,295 | mfu: 4.3% | epoch: 1 | remaining: 277s    
step 00071 (7.6%) | loss: 5.214538 | lrm: 1.00 | dt: 382ms | tok/sec: 343,212 | mfu: 4.3% | epoch: 1 | remaining: 277s    
step 00072 (7.8%) | loss: 5.181698 | lrm: 1.00 | dt: 382ms | tok/sec: 343,233 | mfu: 4.3% | epoch: 1 | remaining: 276s    
step 00073 (7.9%) | loss: 5.153298 | lrm: 1.00 | dt: 382ms | tok/sec: 343,208 | mfu: 4.3% | epoch: 1 | remaining: 276s    
step 00074 (8.0%) | loss: 5.140203 | lrm: 1.00 | dt: 382ms | tok/sec: 343,230 | mfu: 4.3% | epoch: 1 | remaining: 276s    
step 00075 (8.1%) | loss: 5.116757 | lrm: 1.00 | dt: 382ms | tok/sec: 343,240 | mfu: 4.3% | epoch: 1 | remaining: 275s    
step 00076 (8.3%) | loss: 5.096616 | lrm: 1.00 | dt: 382ms | tok/sec: 343,223 | mfu: 4.3% | epoch: 1 | remaining: 275s    
step 00077 (8.4%) | loss: 5.083931 | lrm: 1.00 | dt: 382ms | tok/sec: 343,238 | mfu: 4.3% | epoch: 1 | remaining: 274s    
step 00078 (8.5%) | loss: 5.068864 | lrm: 1.00 | dt: 382ms | tok/sec: 343,224 | mfu: 4.3% | epoch: 1 | remaining: 274s    
step 00079 (8.7%) | loss: 5.047334 | lrm: 1.00 | dt: 382ms | tok/sec: 343,250 | mfu: 4.3% | epoch: 1 | remaining: 274s    
step 00080 (8.8%) | loss: 5.024345 | lrm: 1.00 | dt: 382ms | tok/sec: 343,223 | mfu: 4.3% | epoch: 1 | remaining: 273s    
step 00081 (8.9%) | loss: 4.997543 | lrm: 1.00 | dt: 382ms | tok/sec: 343,210 | mfu: 4.3% | epoch: 1 | remaining: 273s    
step 00082 (9.0%) | loss: 4.987952 | lrm: 1.00 | dt: 382ms | tok/sec: 343,234 | mfu: 4.3% | epoch: 1 | remaining: 273s    
step 00083 (9.2%) | loss: 4.960932 | lrm: 1.00 | dt: 382ms | tok/sec: 343,132 | mfu: 4.3% | epoch: 1 | remaining: 272s    
step 00084 (9.3%) | loss: 4.938690 | lrm: 1.00 | dt: 382ms | tok/sec: 343,326 | mfu: 4.3% | epoch: 1 | remaining: 272s    
step 00085 (9.4%) | loss: 4.922198 | lrm: 1.00 | dt: 382ms | tok/sec: 343,203 | mfu: 4.3% | epoch: 1 | remaining: 271s    
step 00086 (9.5%) | loss: 4.896164 | lrm: 1.00 | dt: 382ms | tok/sec: 343,219 | mfu: 4.3% | epoch: 1 | remaining: 271s    
step 00087 (9.7%) | loss: 4.866384 | lrm: 1.00 | dt: 382ms | tok/sec: 343,244 | mfu: 4.3% | epoch: 1 | remaining: 271s    
step 00088 (9.8%) | loss: 4.837978 | lrm: 1.00 | dt: 382ms | tok/sec: 343,035 | mfu: 4.3% | epoch: 1 | remaining: 270s    
step 00089 (9.9%) | loss: 4.819069 | lrm: 1.00 | dt: 382ms | tok/sec: 343,220 | mfu: 4.3% | epoch: 1 | remaining: 270s    
step 00090 (10.1%) | loss: 4.793888 | lrm: 1.00 | dt: 382ms | tok/sec: 343,263 | mfu: 4.3% | epoch: 1 | remaining: 269s    
step 00091 (10.2%) | loss: 4.782424 | lrm: 1.00 | dt: 382ms | tok/sec: 343,322 | mfu: 4.3% | epoch: 1 | remaining: 269s    
step 00092 (10.3%) | loss: 4.762424 | lrm: 1.00 | dt: 382ms | tok/sec: 343,255 | mfu: 4.3% | epoch: 1 | remaining: 269s    
step 00093 (10.4%) | loss: 4.748966 | lrm: 1.00 | dt: 382ms | tok/sec: 343,313 | mfu: 4.3% | epoch: 1 | remaining: 268s    
step 00094 (10.6%) | loss: 4.743994 | lrm: 1.00 | dt: 382ms | tok/sec: 343,280 | mfu: 4.3% | epoch: 1 | remaining: 268s    
step 00095 (10.7%) | loss: 4.723552 | lrm: 1.00 | dt: 382ms | tok/sec: 343,112 | mfu: 4.3% | epoch: 1 | remaining: 268s    
step 00096 (10.8%) | loss: 4.728912 | lrm: 1.00 | dt: 382ms | tok/sec: 343,253 | mfu: 4.3% | epoch: 1 | remaining: 267s    
step 00097 (10.9%) | loss: 4.713531 | lrm: 1.00 | dt: 382ms | tok/sec: 343,194 | mfu: 4.3% | epoch: 1 | remaining: 267s    
step 00098 (11.1%) | loss: 4.695420 | lrm: 1.00 | dt: 382ms | tok/sec: 343,233 | mfu: 4.3% | epoch: 1 | remaining: 266s    
step 00099 (11.2%) | loss: 4.661683 | lrm: 1.00 | dt: 382ms | tok/sec: 343,224 | mfu: 4.3% | epoch: 1 | remaining: 266s    
step 00100 (11.3%) | loss: 4.644042 | lrm: 1.00 | dt: 382ms | tok/sec: 343,193 | mfu: 4.3% | epoch: 1 | remaining: 266s    
step 00101 (11.5%) | loss: 4.641394 | lrm: 1.00 | dt: 382ms | tok/sec: 343,203 | mfu: 4.3% | epoch: 1 | remaining: 265s    
step 00102 (11.6%) | loss: 4.637669 | lrm: 1.00 | dt: 382ms | tok/sec: 342,960 | mfu: 4.3% | epoch: 1 | remaining: 265s    
step 00103 (11.7%) | loss: 4.630259 | lrm: 1.00 | dt: 382ms | tok/sec: 343,149 | mfu: 4.3% | epoch: 1 | remaining: 264s    
step 00104 (11.8%) | loss: 4.617126 | lrm: 1.00 | dt: 382ms | tok/sec: 343,224 | mfu: 4.3% | epoch: 1 | remaining: 264s    
step 00105 (12.0%) | loss: 4.589992 | lrm: 1.00 | dt: 382ms | tok/sec: 343,194 | mfu: 4.3% | epoch: 1 | remaining: 264s    
step 00106 (12.1%) | loss: 4.582288 | lrm: 1.00 | dt: 382ms | tok/sec: 343,258 | mfu: 4.3% | epoch: 1 | remaining: 263s    
step 00107 (12.2%) | loss: 4.558188 | lrm: 1.00 | dt: 382ms | tok/sec: 343,141 | mfu: 4.3% | epoch: 1 | remaining: 263s    
step 00108 (12.3%) | loss: 4.545387 | lrm: 1.00 | dt: 382ms | tok/sec: 343,296 | mfu: 4.3% | epoch: 1 | remaining: 263s    
step 00109 (12.5%) | loss: 4.521670 | lrm: 1.00 | dt: 382ms | tok/sec: 343,343 | mfu: 4.3% | epoch: 1 | remaining: 262s    
step 00110 (12.6%) | loss: 4.515304 | lrm: 1.00 | dt: 382ms | tok/sec: 343,296 | mfu: 4.3% | epoch: 1 | remaining: 262s    
step 00111 (12.7%) | loss: 4.482268 | lrm: 1.00 | dt: 382ms | tok/sec: 343,262 | mfu: 4.3% | epoch: 1 | remaining: 261s    
step 00112 (12.9%) | loss: 4.476561 | lrm: 1.00 | dt: 382ms | tok/sec: 343,191 | mfu: 4.3% | epoch: 1 | remaining: 261s    
step 00113 (13.0%) | loss: 4.471596 | lrm: 1.00 | dt: 382ms | tok/sec: 343,259 | mfu: 4.3% | epoch: 1 | remaining: 261s    
