Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'LSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.297630e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 1.00 | dt: 6687ms | tok/sec: 19,601 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.907373 | lrm: 1.00 | dt: 383ms | tok/sec: 342,124 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.561980 | lrm: 1.00 | dt: 383ms | tok/sec: 342,175 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.142020 | lrm: 1.00 | dt: 383ms | tok/sec: 341,964 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.791476 | lrm: 1.00 | dt: 383ms | tok/sec: 342,143 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.462409 | lrm: 1.00 | dt: 383ms | tok/sec: 342,041 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.242555 | lrm: 1.00 | dt: 383ms | tok/sec: 341,992 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.032924 | lrm: 1.00 | dt: 383ms | tok/sec: 341,997 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.857871 | lrm: 1.00 | dt: 383ms | tok/sec: 341,982 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.705527 | lrm: 1.00 | dt: 383ms | tok/sec: 341,966 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.568448 | lrm: 1.00 | dt: 383ms | tok/sec: 341,971 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.462798 | lrm: 1.00 | dt: 976ms | tok/sec: 134,341 | mfu: 1.8% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.379721 | lrm: 1.00 | dt: 383ms | tok/sec: 341,974 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.295949 | lrm: 1.00 | dt: 383ms | tok/sec: 341,905 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.204045 | lrm: 1.00 | dt: 383ms | tok/sec: 341,932 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 6.144855 | lrm: 1.00 | dt: 383ms | tok/sec: 341,926 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00016 (0.8%) | loss: 6.093614 | lrm: 1.00 | dt: 383ms | tok/sec: 341,991 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 6.029945 | lrm: 1.00 | dt: 384ms | tok/sec: 341,424 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.985085 | lrm: 1.00 | dt: 383ms | tok/sec: 341,997 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00019 (1.2%) | loss: 5.928349 | lrm: 1.00 | dt: 383ms | tok/sec: 341,978 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00020 (1.3%) | loss: 5.885182 | lrm: 1.00 | dt: 383ms | tok/sec: 342,020 | mfu: 4.5% | epoch: 1 | remaining: 296s    
step 00021 (1.5%) | loss: 5.861875 | lrm: 1.00 | dt: 383ms | tok/sec: 341,924 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00022 (1.6%) | loss: 5.816716 | lrm: 1.00 | dt: 383ms | tok/sec: 341,952 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00023 (1.7%) | loss: 5.783548 | lrm: 1.00 | dt: 383ms | tok/sec: 342,083 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00024 (1.9%) | loss: 5.742936 | lrm: 1.00 | dt: 383ms | tok/sec: 342,031 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00025 (2.0%) | loss: 5.710178 | lrm: 1.00 | dt: 383ms | tok/sec: 341,948 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00026 (2.1%) | loss: 5.671441 | lrm: 1.00 | dt: 383ms | tok/sec: 342,003 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00027 (2.2%) | loss: 5.637651 | lrm: 1.00 | dt: 383ms | tok/sec: 341,988 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00028 (2.4%) | loss: 5.610217 | lrm: 1.00 | dt: 383ms | tok/sec: 341,962 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00029 (2.5%) | loss: 5.585630 | lrm: 1.00 | dt: 383ms | tok/sec: 342,052 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00030 (2.6%) | loss: 5.563683 | lrm: 1.00 | dt: 383ms | tok/sec: 342,035 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00031 (2.8%) | loss: 5.539239 | lrm: 1.00 | dt: 383ms | tok/sec: 341,988 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00032 (2.9%) | loss: 5.503343 | lrm: 1.00 | dt: 383ms | tok/sec: 341,943 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00033 (3.0%) | loss: 5.480812 | lrm: 1.00 | dt: 383ms | tok/sec: 342,051 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00034 (3.1%) | loss: 5.447803 | lrm: 1.00 | dt: 383ms | tok/sec: 342,032 | mfu: 4.5% | epoch: 1 | remaining: 290s    
