Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.250444e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 1.00 | dt: 1707ms | tok/sec: 76,786 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.907697 | lrm: 1.00 | dt: 383ms | tok/sec: 342,007 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.557962 | lrm: 1.00 | dt: 384ms | tok/sec: 341,718 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.135289 | lrm: 1.00 | dt: 384ms | tok/sec: 341,769 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.789451 | lrm: 1.00 | dt: 383ms | tok/sec: 341,893 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.461966 | lrm: 1.00 | dt: 383ms | tok/sec: 341,883 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.242768 | lrm: 1.00 | dt: 383ms | tok/sec: 341,908 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.032913 | lrm: 1.00 | dt: 383ms | tok/sec: 341,823 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.857226 | lrm: 1.00 | dt: 383ms | tok/sec: 341,876 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.702930 | lrm: 1.00 | dt: 384ms | tok/sec: 341,773 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.564407 | lrm: 1.00 | dt: 383ms | tok/sec: 341,887 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.458445 | lrm: 1.00 | dt: 384ms | tok/sec: 341,727 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.375397 | lrm: 1.00 | dt: 383ms | tok/sec: 341,786 | mfu: 4.3% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.291906 | lrm: 1.00 | dt: 383ms | tok/sec: 341,834 | mfu: 4.3% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.202230 | lrm: 1.00 | dt: 383ms | tok/sec: 341,910 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 6.145319 | lrm: 1.00 | dt: 383ms | tok/sec: 341,856 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.094009 | lrm: 1.00 | dt: 383ms | tok/sec: 341,828 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 6.029679 | lrm: 1.00 | dt: 383ms | tok/sec: 341,904 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 5.984058 | lrm: 1.00 | dt: 383ms | tok/sec: 341,829 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.927785 | lrm: 1.00 | dt: 383ms | tok/sec: 341,861 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00020 (1.2%) | loss: 5.884118 | lrm: 1.00 | dt: 384ms | tok/sec: 341,749 | mfu: 4.3% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 5.860881 | lrm: 1.00 | dt: 384ms | tok/sec: 341,758 | mfu: 4.3% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 5.815136 | lrm: 1.00 | dt: 383ms | tok/sec: 341,890 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 5.781660 | lrm: 1.00 | dt: 383ms | tok/sec: 341,893 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 5.741201 | lrm: 1.00 | dt: 383ms | tok/sec: 341,858 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 5.708362 | lrm: 1.00 | dt: 383ms | tok/sec: 341,799 | mfu: 4.3% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 5.669683 | lrm: 1.00 | dt: 383ms | tok/sec: 341,820 | mfu: 4.3% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 5.636474 | lrm: 1.00 | dt: 383ms | tok/sec: 341,872 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00028 (2.2%) | loss: 5.609866 | lrm: 1.00 | dt: 383ms | tok/sec: 341,854 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 5.583926 | lrm: 1.00 | dt: 383ms | tok/sec: 341,781 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 5.561222 | lrm: 1.00 | dt: 383ms | tok/sec: 341,824 | mfu: 4.3% | epoch: 1 | remaining: 292s    
