Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.250444e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011224 | lrm: 1.00 | dt: 1719ms | tok/sec: 76,251 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.907697 | lrm: 1.00 | dt: 383ms | tok/sec: 342,524 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.557963 | lrm: 1.00 | dt: 383ms | tok/sec: 342,014 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.135289 | lrm: 1.00 | dt: 383ms | tok/sec: 341,956 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.789432 | lrm: 1.00 | dt: 383ms | tok/sec: 342,073 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.461947 | lrm: 1.00 | dt: 383ms | tok/sec: 341,955 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.242763 | lrm: 1.00 | dt: 384ms | tok/sec: 341,727 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.032893 | lrm: 1.00 | dt: 383ms | tok/sec: 342,124 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.857215 | lrm: 1.00 | dt: 383ms | tok/sec: 341,975 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.702930 | lrm: 1.00 | dt: 383ms | tok/sec: 341,920 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.564422 | lrm: 1.00 | dt: 383ms | tok/sec: 341,992 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.458543 | lrm: 1.00 | dt: 383ms | tok/sec: 342,124 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.375693 | lrm: 1.00 | dt: 383ms | tok/sec: 342,013 | mfu: 4.3% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.292758 | lrm: 1.00 | dt: 383ms | tok/sec: 342,023 | mfu: 4.3% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.203009 | lrm: 1.00 | dt: 383ms | tok/sec: 342,106 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 6.145467 | lrm: 1.00 | dt: 383ms | tok/sec: 341,962 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.093800 | lrm: 1.00 | dt: 383ms | tok/sec: 341,968 | mfu: 4.3% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 6.029397 | lrm: 1.00 | dt: 383ms | tok/sec: 342,004 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 5.983744 | lrm: 1.00 | dt: 383ms | tok/sec: 341,965 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.927539 | lrm: 1.00 | dt: 383ms | tok/sec: 341,848 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 5.884003 | lrm: 1.00 | dt: 383ms | tok/sec: 341,908 | mfu: 4.3% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 5.860788 | lrm: 1.00 | dt: 383ms | tok/sec: 341,823 | mfu: 4.3% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 5.814805 | lrm: 1.00 | dt: 383ms | tok/sec: 341,943 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 5.781421 | lrm: 1.00 | dt: 383ms | tok/sec: 341,999 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 5.740954 | lrm: 1.00 | dt: 383ms | tok/sec: 341,928 | mfu: 4.3% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 5.707982 | lrm: 1.00 | dt: 383ms | tok/sec: 341,988 | mfu: 4.3% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 5.669403 | lrm: 1.00 | dt: 383ms | tok/sec: 342,034 | mfu: 4.3% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 5.636332 | lrm: 1.00 | dt: 383ms | tok/sec: 341,957 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00028 (2.2%) | loss: 5.609698 | lrm: 1.00 | dt: 383ms | tok/sec: 341,947 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00029 (2.3%) | loss: 5.583684 | lrm: 1.00 | dt: 383ms | tok/sec: 341,906 | mfu: 4.3% | epoch: 1 | remaining: 293s    
step 00030 (2.4%) | loss: 5.560978 | lrm: 1.00 | dt: 383ms | tok/sec: 342,017 | mfu: 4.3% | epoch: 1 | remaining: 292s    
step 00031 (2.6%) | loss: 5.535406 | lrm: 1.00 | dt: 383ms | tok/sec: 342,061 | mfu: 4.3% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 5.498776 | lrm: 1.00 | dt: 383ms | tok/sec: 342,043 | mfu: 4.3% | epoch: 1 | remaining: 292s    
step 00033 (2.8%) | loss: 5.475551 | lrm: 1.00 | dt: 383ms | tok/sec: 341,863 | mfu: 4.3% | epoch: 1 | remaining: 291s    
step 00034 (2.9%) | loss: 5.441383 | lrm: 1.00 | dt: 383ms | tok/sec: 342,074 | mfu: 4.3% | epoch: 1 | remaining: 291s    
step 00035 (3.1%) | loss: 5.422948 | lrm: 1.00 | dt: 383ms | tok/sec: 341,867 | mfu: 4.3% | epoch: 1 | remaining: 290s    
step 00036 (3.2%) | loss: 5.401803 | lrm: 1.00 | dt: 383ms | tok/sec: 342,027 | mfu: 4.3% | epoch: 1 | remaining: 290s    
step 00037 (3.3%) | loss: 5.369013 | lrm: 1.00 | dt: 383ms | tok/sec: 342,111 | mfu: 4.3% | epoch: 1 | remaining: 290s    
step 00038 (3.4%) | loss: 5.350530 | lrm: 1.00 | dt: 383ms | tok/sec: 342,072 | mfu: 4.3% | epoch: 1 | remaining: 289s    
step 00039 (3.6%) | loss: 5.318104 | lrm: 1.00 | dt: 383ms | tok/sec: 342,017 | mfu: 4.3% | epoch: 1 | remaining: 289s    
step 00040 (3.7%) | loss: 5.288798 | lrm: 1.00 | dt: 383ms | tok/sec: 341,954 | mfu: 4.3% | epoch: 1 | remaining: 289s    
step 00041 (3.8%) | loss: 5.279536 | lrm: 1.00 | dt: 383ms | tok/sec: 342,103 | mfu: 4.3% | epoch: 1 | remaining: 288s    
step 00042 (4.0%) | loss: 5.258873 | lrm: 1.00 | dt: 383ms | tok/sec: 342,049 | mfu: 4.3% | epoch: 1 | remaining: 288s    
